id,nome_sito,prezzo_sito,prezzo_gipo_ultimo,data_ultima_fattura,prezzo_gipo_modale,n_fatture_12m,esito
11-desossicorticosterone-doc,11-DESOSSICORTICOSTERONE (DOC),15.0,,,,0,NO_DATI_GIPO
1-2-cicloesandiolo-urine-f-t,1-2 CICLOESANDIOLO URINE F.T.,10.0,,,,0,NO_DATI_GIPO
17-beta-estradiolo-leggere-popup,17 beta Estradiolo  - LEGGERE POPUP,22.0,22.0,2025-10-13,22.0,1,OK
17-chetosteroidi-urine-24h,17 CHETOSTEROIDI URINE 24H,10.0,,,,0,NO_DATI_GIPO
17-oh-progesterone,17-OH-PROGESTERONE,13.2,13.2,2026-06-16,13.2,8,OK
2-5-esandione-urine-f-t,2-5 ESANDIONE URINE F.T.,15.0,,,,0,NO_DATI_GIPO
a-a-helicobacter-pylori-iga,A.A. HELICOBACTER PYLORI IgA,12.7,12.7,2026-06-01,12.7,3,OK
a-a-helicobacter-pylori-igg,A.A. HELICOBACTER PYLORI IgG,12.7,12.7,2026-06-01,12.7,3,OK
ab-anticorpi-sars-cov-2-igg-ii-proteina-spike-quan,AB ANTICORPI SARS COV-2 IgG II PROTEINA SPIKE (QUANTITATIVA),70.0,,,,0,NO_DATI_GIPO
acacia-acacia-longifolia-ige-specifiche,ACACIA (ACACIA LONGIFOLIA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
acarus-siro-ige-specifiche,ACARUS SIRO (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
acciuga-ige-specifiche,ACCIUGA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
acero-acer-negundo-ige-specifiche,ACERO (ACER NEGUNDO) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
acetonemia-acetone-urine-fine-turno,ACETONEMIA (ACETONE URINE FINE TURNO),45.0,,,,0,NO_DATI_GIPO
acidi-biliari,ACIDI BILIARI,11.5,11.5,2025-07-21,11.5,1,OK
acidi-grassi-a-catena-lunga-e-rapporto-omega,ACIDI GRASSI A CATENA LUNGA E RAPPORTO OMEGA,100.0,100.0,2025-09-02,100.0,1,OK
