"ID","Data","Slug","Keyword","Titolo","Specialita","Angolo_Sardegna","Specialisti","Stato"
"1","2026-02-18","ipertensione-arteriosa","ipertensione arteriosa cause sintomi cura","Ipertensione Arteriosa: Cause, Sintomi e Cura a Sassari","cardiologia","Sardegna: tassi superiori alla media nazionale, predisposizione genetica isolana e dieta ricca di sodio.","Dott. Paolo Franca, Dott. Paolo Pischedda","published"
"2","2026-02-19","ipotiroidismo","ipotiroidismo sintomi cura tiroide","Ipotiroidismo: Sintomi, Diagnosi e Cura in Sardegna","endocrinologia","Tiroidite di Hashimoto con prevalenza elevata in Sardegna per alta incidenza autoimmune.","Dott.ssa Irene Aini, Dott. Francesco Tolu","published"
"3","2026-02-20","endometriosi-sintomi","endometriosi sintomi diagnosi cura","Endometriosi: Sintomi, Diagnosi e Trattamento a Sassari","ginecologia","Diagnosi ritardata di 7-10 anni in Sardegna, fondamentale l'accesso a specialisti dedicati.","Dott. Francesco Dessole, Prof. Marco Petrillo","published"
"4","2026-02-23","diabete-tipo-2-sardegna","diabete tipo 2 sintomi cura sardegna","Diabete di Tipo 2 in Sardegna: Sintomi, Rischi e Cura","endocrinologia","Sardegna: primato mondiale diabete tipo 1, prevalenza tipo 2 superiore alla media italiana.","Dott.ssa Fabrizia Caucci","published"
"5","2026-02-24","anemia-mediterranea-talassemia","talassemia anemia mediterranea sardegna portatore sano","Anemia Mediterranea (Talassemia) in Sardegna: Guida Completa","ematologia","12-13% dei sardi portatore del tratto talassemico, la più alta prevalenza in Europa.","Dr. Daniele Sabiu","published"
"6","2026-02-25","reflusso-gastroesofageo","reflusso gastroesofageo sintomi cura","Reflusso Gastroesofageo: Sintomi, Cause e Cura","gastroenterologia","Dieta sarda con vino e formaggi stagionati può aggravare il reflusso.","Dott. Angelo Deplano","published"
"7","2026-02-26","noduli-tiroidei","noduli tiroidei quando preoccuparsi","Noduli Tiroidei: Quando Preoccuparsi e Cosa Fare","endocrinologia","Prevalenza elevata in Sardegna per storica carenza iodica delle zone interne.","Dott.ssa Irene Aini, Dott. Francesco Tolu","published"
"8","2026-02-27","cervicalgia-dolore-collo","dolore cervicale cause rimedi cervicalgia","Cervicalgia: Cause, Sintomi e Rimedi per il Dolore al Collo","ortopedia","Prima causa visita specialistica in Sardegna, aggravata da sedentarietà e lunghe percorrenze auto.","Dott. Andrea Donato, Dott. Pietro Lisai","published"
"9","2026-03-02","dermatite-atopica","dermatite atopica adulti cura sintomi","Dermatite Atopica: Sintomi, Cause e Cura a Sassari","dermatologia","Clima secco estivo sardo e predisposizione genetica autoimmune.","Dott.ssa Alessandra Musinu, Dott.ssa Giovanna Costa, Dott.ssa Speranza Anedda","published"
"10","2026-03-03","cistite-ricorrente","cistite ricorrente cause cura prevenzione","Cistite Ricorrente: Cause, Cura e Prevenzione","urologia","Picco estivo in Sardegna per disidratazione e bagni in mare.","Dott. Carlos Manuel Cambara Zuniga","published"
"11","2026-03-04","fibrillazione-atriale","fibrillazione atriale sintomi rischi cura","Fibrillazione Atriale: Sintomi, Rischi e Trattamento","cardiologia","Incidenza crescente nella popolazione anziana sarda.","Dott. Paolo Franca, Dott.ssa Sara Uras","published"
"12","2026-03-05","sindrome-ovaio-policistico","ovaio policistico sintomi cura PCOS","Sindrome dell'Ovaio Policistico (PCOS): Sintomi e Cura","ginecologia","Principale causa di infertilità, tema sentito nel percorso PMA.","Dott. Francesco Dessole, Dott.ssa Maddalena Pola","published"
"13","2026-03-06","ernia-disco-lombare","ernia del disco lombare sintomi cura","Ernia del Disco Lombare: Sintomi, Diagnosi e Cura","ortopedia","Tra le principali ragioni di visita ortopedica nel nord Sardegna.","Dott. Andrea Donato, Dott. Nicola Frau","published"
"14","2026-03-09","helicobacter-pylori","helicobacter pylori test sintomi cura","Helicobacter Pylori: Test, Sintomi e Cura","gastroenterologia","30-50% popolazione adulta italiana, variazioni regionali in Sardegna.","Dott. Angelo Deplano","planned"
"15","2026-03-10","ipertiroidismo","ipertiroidismo sintomi cura morbo di basedow","Ipertiroidismo e Morbo di Basedow: Sintomi e Cura","endocrinologia","Morbo di Basedow-Graves con prevalenza elevata in Sardegna, profilo immunogenetico isolano.","Dott.ssa Fabrizia Caucci, Dott.ssa Irene Aini","planned"
"16","2026-03-11","asma-bronchiale","asma bronchiale sintomi diagnosi cura","Asma Bronchiale: Sintomi, Diagnosi e Cura","pneumologia","Trigger ambientali specifici: pollini, mistral, inquinamento urbano sardo.","Prof. Pietro Pirina","planned"
"17","2026-03-12","menopausa-sintomi","menopausa sintomi rimedi terapia ormonale","Menopausa: Sintomi, Rimedi e Terapia Ormonale Sostitutiva","ginecologia","Lunga aspettativa di vita in Sardegna rende essenziale la gestione post-menopausa.","Dott. Francesco Dessole","planned"
"18","2026-03-13","psoriasi","psoriasi cause sintomi cura","Psoriasi: Cause, Sintomi e Cura a Sassari","dermatologia","Componente autoimmune amplificata dal profilo genetico isolano.","Dott.ssa Giovanna Costa, Dott.ssa Speranza Anedda","planned"
"19","2026-03-16","prostatite","prostatite sintomi cura prevenzione","Prostatite: Sintomi, Diagnosi e Cura","urologia","Frequenti episodi correlati a stress e sedentarietà.","Dott. Carlos Manuel Cambara Zuniga","planned"
"20","2026-03-17","colesterolo-alto","colesterolo alto cause dieta rimedi","Colesterolo Alto: Cause, Rischi e Come Abbassarlo","cardiologia","Ipercolesterolemia familiare frequente in Sardegna, dieta tradizionale può elevare LDL.","Dott.ssa Giuliana Guagnozzi, Dr. Tonino Bullitta","planned"
"21","2026-03-18","artrite-reumatoide-sardegna","artrite reumatoide sintomi cura sardegna","Artrite Reumatoide in Sardegna: Sintomi, Diagnosi e Cura","reumatologia","Più alta prevalenza di AR in Italia, legata all'assetto HLA sardo.","Dott. Niccolò Melis","planned"
