source,target,action,current_status,priority,note
/pages/visita-cardiologica-ecg,/pages/visita-cardiologica-ecg.html,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-ginecologica,/visita-ginecologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-dermatologica,/visita-dermatologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-endocrinologica,/visita-endocrinologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-neurologica,/visita-neurologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-ortopedica,/visita-ortopedica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-urologica,/visita-urologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-oculistica,/visita-oculistica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-gastroenterologica,/visita-gastroenterologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-pneumologica,/visita-pneumologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-reumatologica,/visita-reumatologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-ematologica,/visita-ematologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-fisiatrica,/visita-fisiatrica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-pediatrica,/visita-pediatrica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-nefrologica,/visita-nefrologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-chirurgia-vascolare,/visita-chirurgia-vascolare/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-internistica,/visita-internistica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-medicina-lavoro,/visita-medicina-del-lavoro-sassari/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-medicina-sport,/visita-medicina-sport/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/visita-nutrizionale,/visita-nutrizionale/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/colloquio-psicologico,/colloquio-psicologico/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ginecologi-sassari,/ginecologi-sassari/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/hpv-test,/pap-test-hpv/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/hpv-dna-test,/hpv-dna-test/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/pap-test,/pap-test/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/duopap,/duopap/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/genetica,/genetica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/isterosalpingografia,/isterosalpingografia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/isteroscopia,/isteroscopia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/mappatura-nevi,/mappatura-nevi/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/dermatoscopia-digitale,/dermatologia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/agoaspirato-tiroide,/endocrinologia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/checkup-tiroide,/checkup-tiroide/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/colposcopia,/colposcopia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/screening-inps-sardegna,/screening-inps-sardegna/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/symptom-checker,/symptom-checker/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/caressflow,/caressflow/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/perifit-kegel-sassari,/perifit-kegel-sassari/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/radiofrequenza-vaginale,/radiofrequenza-vaginale/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/riabilitazione-pavimento-pelvico,/riabilitazione-pavimento-pelvico/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/trattamenti-pavimento-pelvico,/trattamenti-pavimento-pelvico/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/rinofibrolaringoscopia,/otorinolaringoiatria/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-mammaria,/ecografia-mammaria/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-tiroidea,/ecografia-tiroidea/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-transvaginale,/ecografia-transvaginale/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-ginecologica,/ginecologia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-pelvica,/ecografia-pelvica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-prostatica,/ecografia-prostatica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-renale,/ecografia-renale/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-addominale,/ecografia-addominale/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-ostetrica-3d,/ecografia-ostetrica-3d/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/ecografia-morfologica,/ecografia-morfologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/eco-doppler-arti,/eco-doppler-arti/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/elettromiografia,/elettromiografia/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/translucenza-nucale,/ecografia-morfologica/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/infiltrazioni-articolari,/infiltrazioni-articolari/,301,200,CRITICAL,Legacy /pages/ still serving content
/pages/scleroterapia,/scleroterapia/,301,200,CRITICAL,Legacy /pages/ still serving content
